chromosome,start,end,CBR110-15-R3a_log2,CBR110-15-R3a_fold_change,Carmaphycin-R9-2_log2,Carmaphycin-R9-2_fold_change,Doxorubicin16-R2b_log2,Doxorubicin16-R2b_fold_change,NODRUG-GM2_log2,NODRUG-GM2_fold_change
V,521694,526711,-0.0581,0.961,-0.0574,0.961,-0.1730,0.887,-0.0485,0.967
V,526711,531727,0.2936,1.226,0.1488,1.109,0.2787,1.213,0.1062,1.076
V,531727,536743,0.3779,1.299,0.1401,1.102,0.2959,1.228,-0.0395,0.973
V,536743,541759,0.0131,1.009,-0.0877,0.941,-0.1134,0.924,-0.0139,0.990
V,541759,546776,-0.1120,0.925,-0.2290,0.853,-0.2336,0.850,0.0437,1.031
V,546776,551792,0.2162,1.162,0.0353,1.025,-0.0006,1.000,-0.0033,0.998
V,551792,556808,0.2437,1.184,-0.0274,0.981,-0.0447,0.969,0.0298,1.021
V,556808,561825,0.3452,1.270,0.0775,1.055,0.0300,1.021,-0.0255,0.982
V,561825,566841,0.2341,1.176,0.0678,1.048,-0.1669,0.891,-0.0133,0.991
V,566841,571857,0.5362,1.450,0.3744,1.296,0.0831,1.059,0.0455,1.032
V,571857,576874,0.4736,1.389,0.5740,1.489,0.3335,1.260,0.4783,1.393
II,0,4988,0.3440,1.269,0.4069,1.326,0.1343,1.098,0.1283,1.093
II,4988,9977,0.6627,1.583,0.5122,1.426,0.1736,1.128,0.0736,1.052
II,9977,14966,0.2663,1.203,0.1093,1.079,-0.0456,0.969,0.0677,1.048
II,14966,19955,0.2857,1.219,0.0611,1.043,0.0289,1.020,0.1107,1.080
II,19955,24944,0.4209,1.339,0.1126,1.081,0.1559,1.114,0.0271,1.019
II,24944,29933,0.2450,1.185,0.0619,1.044,0.0931,1.067,0.0336,1.024
II,29933,34922,0.4124,1.331,0.1568,1.115,0.2940,1.226,-0.2158,0.861
II,34922,39910,0.0637,1.045,-0.0835,0.944,-0.1631,0.893,-0.0008,0.999
II,39910,44899,0.1896,1.140,-0.0695,0.953,0.0885,1.063,-0.0130,0.991
II,44899,49888,0.1860,1.138,-0.0491,0.967,0.0869,1.062,-0.0563,0.962
II,49888,54877,0.2088,1.156,0.1455,1.106,0.1640,1.120,0.0049,1.003
II,54877,59866,0.2266,1.170,0.0971,1.070,0.1375,1.100,0.0242,1.017
II,59866,64855,-0.0189,0.987,0.0077,1.005,0.0074,1.005,-0.0332,0.977
II,64855,69844,-0.0271,0.981,-0.1076,0.928,-0.0666,0.955,-0.0115,0.992
II,69844,74832,0.2271,1.170,0.1500,1.110,0.1641,1.120,-0.0197,0.986
II,74832,79821,0.1273,1.092,0.0643,1.046,-0.0061,0.996,0.0130,1.009
II,79821,84810,0.0366,1.026,-0.0566,0.962,0.0631,1.045,-0.0382,0.974
II,84810,89799,0.0849,1.061,0.0723,1.051,0.0847,1.060,-0.0277,0.981
II,89799,94788,-0.0682,0.954,-0.0815,0.945,-0.1687,0.890,0.0153,1.011
II,94788,99777,0.0015,1.001,-0.0687,0.954,-0.0639,0.957,0.0102,1.007
II,99777,104766,-0.0222,0.985,-0.0199,0.986,-0.1139,0.924,-0.0044,0.997
II,104766,109754,0.1664,1.122,0.1752,1.129,0.0713,1.051,0.0164,1.011
II,109754,114743,-0.0316,0.978,0.0168,1.012,-0.1015,0.932,0.0682,1.048
II,114743,119732,0.0467,1.033,0.0307,1.022,-0.0199,0.986,-0.0426,0.971
II,119732,124721,-0.1075,0.928,-0.0528,0.964,-0.1298,0.914,0.0232,1.016
II,124721,129710,0.0312,1.022,-0.0300,0.979,0.0107,1.007,0.0218,1.015
II,129710,134699,-0.0483,0.967,-0.0844,0.943,-0.0126,0.991,-0.1167,0.922
II,134699,139688,-0.1704,0.889,-0.0694,0.953,-0.0751,0.949,-0.0878,0.941
II,139688,144676,-0.1253,0.917,-0.0609,0.959,-0.0406,0.972,-0.0501,0.966
II,144676,149665,-0.1043,0.930,0.0458,1.032,0.0669,1.047,-0.0831,0.944
II,149665,154654,-0.1217,0.919,-0.0603,0.959,-0.0093,0.994,0.0205,1.014
II,154654,159643,-0.1530,0.899,-0.0949,0.936,-0.1038,0.931,0.0697,1.049
II,159643,164632,-0.0852,0.943,-0.0199,0.986,-0.0559,0.962,0.0394,1.028
II,164632,169621,-0.3262,0.798,-0.2454,0.844,-0.2962,0.814,-0.1194,0.921
II,169621,174610,0.0830,1.059,0.0171,1.012,0.1427,1.104,-0.0311,0.979
II,174610,179598,0.0909,1.065,0.0613,1.043,0.1235,1.089,-0.0628,0.957
II,179598,184587,-0.1009,0.932,0.0048,1.003,0.0804,1.057,0.0567,1.040
II,184587,189576,0.0511,1.036,0.0269,1.019,0.0616,1.044,0.0381,1.027
II,189576,194565,0.1297,1.094,0.1773,1.131,0.2110,1.158,0.0034,1.002
II,194565,199554,-0.0018,0.999,0.0501,1.035,-0.0007,1.000,-0.0016,0.999
II,199554,204543,-0.0735,0.950,-0.0047,0.997,0.1133,1.082,-0.0705,0.952
II,204543,209532,-0.1801,0.883,-0.1062,0.929,0.0416,1.029,0.0422,1.030
II,209532,214520,-0.1386,0.908,-0.0259,0.982,0.0803,1.057,0.0419,1.029
II,214520,219509,0.0120,1.008,0.0543,1.038,0.0480,1.034,0.0526,1.037
II,219509,224498,0.4268,1.344,0.3174,1.246,0.3483,1.273,0.0730,1.052
II,224498,229487,0.2005,1.149,0.1140,1.082,0.2090,1.156,0.1378,1.100
II,229487,234476,0.0714,1.051,0.1246,1.090,0.2880,1.221,0.0557,1.039
II,234476,239465,0.0512,1.036,-0.0035,0.998,0.0656,1.047,0.0788,1.056
II,239465,244454,-0.0094,0.994,0.0278,1.019,-0.0536,0.964,0.0000,1.000
II,244454,249442,-0.1477,0.903,-0.0799,0.946,-0.0692,0.953,-0.0825,0.944
II,249442,254431,-0.0203,0.986,0.0376,1.026,0.1072,1.077,-0.0589,0.960
II,254431,259420,-0.1931,0.875,-0.0838,0.944,-0.0965,0.935,-0.0772,0.948
II,259420,264409,0.4235,1.341,0.3134,1.243,0.4266,1.344,0.1249,1.090
II,264409,269398,0.2302,1.173,0.1623,1.119,0.1587,1.116,-0.0018,0.999
II,269398,274387,-0.0230,0.984,-0.0704,0.952,0.0235,1.016,-0.0345,0.976
II,274387,279376,0.0008,1.001,-0.0166,0.989,0.0311,1.022,0.0623,1.044
II,279376,284364,-0.0165,0.989,-0.0035,0.998,-0.0181,0.988,0.0000,1.000
II,284364,289353,-0.0280,0.981,-0.0673,0.954,0.0483,1.034,-0.0717,0.951
II,289353,294342,-0.0434,0.970,-0.0490,0.967,-0.0560,0.962,-0.0010,0.999
II,294342,299331,0.0304,1.021,-0.0035,0.998,-0.0007,1.000,-0.0123,0.992
II,299331,304320,-0.3070,0.808,-0.2809,0.823,-0.2238,0.856,-0.0860,0.942
II,304320,309309,-0.2643,0.833,-0.1380,0.909,-0.2127,0.863,0.0461,1.032
II,309309,314298,-0.0445,0.970,0.0058,1.004,0.0583,1.041,-0.0146,0.990
II,314298,319286,0.0478,1.034,-0.0398,0.973,-0.0065,0.996,0.0145,1.010
II,319286,324275,-0.0946,0.937,-0.0110,0.992,-0.0098,0.993,-0.0008,0.999
II,324275,329264,0.0887,1.063,0.1154,1.083,0.0948,1.068,0.0465,1.033
II,329264,334253,-0.4288,0.743,-0.3292,0.796,-0.4714,0.721,-0.0199,0.986
II,334253,339242,-0.1089,0.927,-0.1426,0.906,-0.1912,0.876,0.0278,1.019
II,339242,344231,-0.0617,0.958,-0.1202,0.920,-0.0007,1.000,0.0123,1.009
II,344231,349220,-0.1146,0.924,-0.0738,0.950,-0.1211,0.920,-0.0733,0.950
II,349220,354208,-0.0367,0.975,-0.0715,0.952,-0.0008,0.999,0.0010,1.001
II,354208,359197,0.0292,1.020,0.0935,1.067,0.0494,1.035,0.0323,1.023
II,359197,364186,-0.2075,0.866,-0.0960,0.936,-0.1723,0.887,0.0264,1.019
II,364186,369175,-0.1688,0.890,-0.0480,0.967,-0.1902,0.876,-0.0510,0.965
II,369175,374164,-0.2971,0.814,-0.3200,0.801,-0.3467,0.786,0.0000,1.000
II,374164,379153,-0.1428,0.906,-0.0995,0.933,-0.0443,0.970,-0.0726,0.951
II,379153,384142,-0.0659,0.955,-0.0579,0.961,0.0088,1.006,-0.0052,0.996
II,384142,389130,0.0963,1.069,0.0340,1.024,0.0954,1.068,-0.0020,0.999
II,389130,394119,-0.0852,0.943,-0.0625,0.958,-0.0708,0.952,0.0618,1.044
II,394119,399108,-0.2689,0.830,-0.3438,0.788,-0.1294,0.914,-0.0021,0.999
II,399108,404097,-0.1798,0.883,-0.1765,0.885,-0.1062,0.929,0.0444,1.031
II,404097,409086,-0.2194,0.859,-0.1333,0.912,-0.0370,0.975,0.0231,1.016
II,409086,414075,0.0753,1.054,0.0667,1.047,0.2075,1.155,0.0169,1.012
II,414075,419064,-0.3126,0.805,-0.2038,0.868,-0.1656,0.892,-0.0574,0.961
II,419064,424053,-0.1613,0.894,-0.1220,0.919,-0.0958,0.936,-0.0525,0.964
II,424053,429041,0.0633,1.045,0.0511,1.036,0.0964,1.069,-0.0346,0.976
II,429041,434030,0.1292,1.094,0.1318,1.096,0.1219,1.088,-0.0577,0.961
II,434030,439019,0.0049,1.003,0.0582,1.041,0.0780,1.056,-0.0190,0.987
II,439019,444008,0.0906,1.065,0.1178,1.085,0.1797,1.133,0.0301,1.021
II,444008,448997,0.1415,1.103,0.1137,1.082,0.2196,1.164,0.0187,1.013
II,448997,453986,-0.1341,0.911,-0.0176,0.988,-0.0420,0.971,0.0184,1.013
II,453986,458975,-0.0078,0.995,-0.0088,0.994,0.0655,1.046,0.0006,1.000
II,458975,463963,-0.1040,0.930,-0.0794,0.946,-0.0354,0.976,0.0544,1.038
II,463963,468952,-0.1412,0.907,-0.1167,0.922,-0.0405,0.972,0.0824,1.059
II,468952,473941,0.0663,1.047,0.0569,1.040,0.1224,1.089,-0.0027,0.998
II,473941,478930,0.0184,1.013,-0.0000,1.000,0.0853,1.061,0.0412,1.029
II,478930,483919,-0.2898,0.818,-0.2550,0.838,-0.1442,0.905,-0.0043,0.997
II,483919,488908,-0.1124,0.925,-0.0400,0.973,-0.1119,0.925,0.0093,1.006
II,488908,493897,0.0670,1.048,0.0770,1.055,0.1158,1.084,0.0000,1.000
II,493897,498885,-0.1277,0.915,-0.0607,0.959,-0.0208,0.986,-0.0119,0.992
II,498885,503874,0.0076,1.005,-0.0062,0.996,0.0275,1.019,-0.0280,0.981
II,503874,508863,0.0256,1.018,-0.0517,0.965,0.0814,1.058,-0.0386,0.974
II,508863,513852,0.0938,1.067,0.0882,1.063,0.2144,1.160,-0.0218,0.985
II,513852,518841,0.0149,1.010,0.0368,1.026,0.1452,1.106,0.0255,1.018
II,518841,523830,-0.0527,0.964,-0.0886,0.940,-0.0679,0.954,-0.0137,0.991
II,523830,528819,-0.0956,0.936,0.0780,1.056,0.0077,1.005,-0.0389,0.973
II,528819,533807,-0.1434,0.905,-0.0396,0.973,-0.0965,0.935,-0.0164,0.989
II,533807,538796,-0.1991,0.871,-0.0705,0.952,-0.0977,0.934,-0.0270,0.981
II,538796,543785,-0.1990,0.871,-0.0775,0.948,-0.0981,0.934,-0.0217,0.985
II,543785,548774,-0.2682,0.830,-0.1438,0.905,-0.2254,0.855,-0.0169,0.988
II,548774,553763,-0.3372,0.792,-0.1999,0.871,-0.1560,0.898,0.0060,1.004
II,553763,558752,-0.2498,0.841,-0.0854,0.942,-0.0810,0.945,-0.0158,0.989
II,558752,563741,-0.0638,0.957,0.0318,1.022,-0.0218,0.985,-0.1155,0.923
II,563741,568729,-0.1843,0.880,-0.0907,0.939,-0.0832,0.944,-0.0239,0.984
II,568729,573718,0.0094,1.007,0.1487,1.109,0.0676,1.048,-0.0414,0.972
II,573718,578707,-0.1852,0.880,-0.0721,0.951,-0.1620,0.894,-0.0108,0.993
II,578707,583696,0.1160,1.084,0.1726,1.127,0.1849,1.137,-0.0267,0.982
II,583696,588685,-0.2073,0.866,-0.0571,0.961,-0.0174,0.988,-0.0316,0.978
II,588685,593674,-0.3061,0.809,-0.2019,0.869,-0.2187,0.859,-0.0166,0.989
II,593674,598663,-0.1552,0.898,-0.0339,0.977,-0.0518,0.965,-0.0279,0.981
II,598663,603651,-0.1936,0.874,-0.0328,0.978,-0.0772,0.948,0.0210,1.015
II,603651,608640,-0.2545,0.838,-0.1588,0.896,-0.1927,0.875,0.0167,1.012
II,608640,613629,-0.1420,0.906,-0.0054,0.996,0.0148,1.010,-0.0150,0.990
II,613629,618618,-0.0907,0.939,0.0251,1.018,-0.0007,1.000,-0.0460,0.969
II,618618,623607,0.0093,1.006,0.0797,1.057,0.0137,1.010,0.0179,1.013
II,623607,628596,-0.0824,0.945,0.0397,1.028,0.0111,1.008,0.0309,1.022
II,628596,633585,-0.2132,0.863,-0.0681,0.954,0.0504,1.036,-0.0154,0.989
II,633585,638573,-0.0676,0.954,-0.0116,0.992,0.0153,1.011,0.0186,1.013
II,638573,643562,0.0015,1.001,-0.0035,0.998,0.0451,1.032,-0.1148,0.924
II,643562,648551,0.0967,1.069,0.1286,1.093,0.0688,1.049,0.0650,1.046
II,648551,653540,-0.1012,0.932,-0.0024,0.998,-0.0809,0.945,0.0731,1.052
II,653540,658529,-0.0966,0.935,0.0507,1.036,0.0583,1.041,0.0857,1.061
II,658529,663518,-0.0212,0.985,0.0643,1.046,0.0474,1.033,0.0520,1.037
II,663518,668507,0.0230,1.016,0.1414,1.103,0.0977,1.070,-0.0007,0.999
II,668507,673495,-0.1767,0.885,-0.1339,0.911,-0.1384,0.909,0.0590,1.042
II,673495,678484,-0.1235,0.918,-0.0317,0.978,-0.1686,0.890,-0.0234,0.984
II,678484,683473,-0.2911,0.817,-0.1582,0.896,-0.2606,0.835,-0.0435,0.970
II,683473,688462,0.1086,1.078,0.1310,1.095,0.0755,1.054,0.0218,1.015
II,688462,693451,-0.1415,0.907,0.0464,1.033,0.0400,1.028,0.0144,1.010
II,693451,698440,0.0015,1.001,-0.0510,0.965,0.0131,1.009,0.0873,1.062
II,698440,703429,0.0730,1.052,0.0619,1.044,-0.0267,0.982,-0.1083,0.928
II,703429,708417,-0.1309,0.913,-0.0624,0.958,-0.1501,0.901,-0.0104,0.993
II,708417,713406,-0.0801,0.946,0.0240,1.017,-0.0200,0.986,0.0838,1.060
II,713406,718395,-0.0996,0.933,-0.0445,0.970,-0.1354,0.910,0.0851,1.061
II,718395,723384,0.0470,1.033,0.0668,1.047,0.0089,1.006,-0.0325,0.978
II,723384,728373,0.1165,1.084,0.1084,1.078,0.0613,1.043,-0.0246,0.983
II,728373,733362,-0.0122,0.992,0.0819,1.058,-0.0626,0.958,-0.0316,0.978
II,733362,738351,0.0524,1.037,0.0260,1.018,-0.0802,0.946,-0.0139,0.990
II,738351,743339,-0.0744,0.950,-0.0844,0.943,-0.1562,0.897,-0.0392,0.973
II,743339,748328,0.0650,1.046,0.0373,1.026,0.0402,1.028,-0.0436,0.970
II,748328,753317,0.1024,1.074,0.0449,1.032,0.0492,1.035,-0.0544,0.963
II,753317,758306,0.0618,1.044,0.0004,1.000,0.0082,1.006,-0.0567,0.961
II,758306,763295,0.0575,1.041,-0.0383,0.974,0.0055,1.004,0.0324,1.023
II,763295,768284,0.1505,1.110,0.0294,1.021,0.0330,1.023,-0.0057,0.996
II,768284,773273,0.2280,1.171,0.0682,1.048,0.0567,1.040,0.0126,1.009
II,773273,778261,0.0740,1.053,-0.0819,0.945,0.1151,1.083,0.0150,1.010
II,778261,783250,0.1896,1.140,-0.0262,0.982,-0.0007,1.000,0.0086,1.006
II,783250,788239,0.2721,1.208,0.0700,1.050,0.0713,1.051,-0.0358,0.976
II,788239,793228,0.2252,1.169,0.0159,1.011,0.0182,1.013,-0.0442,0.970
II,793228,798217,0.1054,1.076,-0.1032,0.931,-0.0364,0.975,0.0186,1.013
II,798217,803206,0.2824,1.216,0.0609,1.043,-0.0290,0.980,0.0001,1.000
II,803206,808195,0.3786,1.300,0.1552,1.114,-0.0007,0.999,0.0542,1.038
II,808195,813184,0.5340,1.448,0.3230,1.251,-0.0946,0.937,0.0477,1.034
III,0,5025,1.2791,2.427,0.8598,1.815,0.3886,1.309,0.2080,1.155
III,5025,10051,0.5707,1.485,0.2949,1.227,0.1848,1.137,0.0115,1.008
III,10051,15077,0.2867,1.220,-0.0558,0.962,-0.1140,0.924,-0.1393,0.908
III,15077,20102,0.3953,1.315,0.0696,1.049,0.0294,1.021,0.0405,1.028
III,20102,25128,0.2329,1.175,-0.1166,0.922,-0.1166,0.922,0.0822,1.059
III,25128,30154,0.1659,1.122,-0.0475,0.968,-0.0007,1.000,0.0646,1.046
III,30154,35180,0.1906,1.141,-0.0847,0.943,0.0181,1.013,0.1291,1.094
III,35180,40205,0.2698,1.206,-0.0658,0.955,0.1116,1.080,0.0597,1.042
III,40205,45231,0.0771,1.055,-0.1713,0.888,-0.0887,0.940,-0.0066,0.995
III,45231,50257,0.1335,1.097,-0.1160,0.923,0.0949,1.068,0.0577,1.041
III,50257,55282,0.0215,1.015,-0.1152,0.923,-0.0755,0.949,-0.0982,0.934
III,55282,60308,0.2107,1.157,-0.0726,0.951,0.1099,1.079,-0.0745,0.950
III,60308,65334,0.3935,1.314,0.2109,1.157,0.1438,1.105,-0.0275,0.981
III,65334,70360,0.2265,1.170,0.1019,1.073,0.1419,1.103,0.0837,1.060
III,70360,75385,0.1730,1.127,0.0423,1.030,0.0963,1.069,-0.0129,0.991
III,75385,80411,0.1549,1.113,0.0354,1.025,-0.0407,0.972,-0.0847,0.943
III,80411,85437,0.1800,1.133,0.0308,1.022,-0.0007,1.000,-0.1189,0.921
III,85437,90462,0.0408,1.029,-0.0150,0.990,-0.0813,0.945,-0.4463,0.734
III,90462,95488,-0.2931,0.816,-0.4188,0.748,-0.4019,0.757,-0.6233,0.649
III,95488,100514,0.1204,1.087,0.0677,1.048,0.1177,1.085,0.0209,1.015
III,100514,105539,-0.0457,0.969,-0.1122,0.925,-0.1394,0.908,0.0132,1.009
III,105539,110565,0.1515,1.111,0.0544,1.038,0.0050,1.003,-0.0076,0.995
III,110565,115591,0.1018,1.073,-0.0035,0.998,-0.0322,0.978,0.0338,1.024
III,115591,120617,-0.0477,0.967,-0.0199,0.986,-0.1445,0.905,0.0294,1.021
III,120617,125642,0.0381,1.027,0.0392,1.028,-0.0089,0.994,-0.0453,0.969
III,125642,130668,0.1819,1.134,0.0647,1.046,0.0199,1.014,0.0992,1.071
III,130668,135694,-0.7985,0.575,-0.6894,0.620,-0.7058,0.613,-0.7120,0.610
III,135694,140720,-0.5942,0.662,-0.6568,0.634,-0.5311,0.692,-0.3804,0.768
III,140720,145745,0.1767,1.130,0.0400,1.028,0.0473,1.033,0.0293,1.020
III,145745,150771,-0.3251,0.798,-0.4774,0.718,-0.3083,0.808,-0.7249,0.605
III,150771,155797,-0.0712,0.952,-0.1273,0.916,-0.1952,0.873,-0.2889,0.819
III,155797,160822,0.1799,1.133,0.0668,1.047,0.0720,1.051,-0.0389,0.973
III,160822,165848,0.1656,1.122,0.0850,1.061,0.1120,1.081,-0.0460,0.969
III,165848,170874,0.1350,1.098,0.1684,1.124,-0.0538,0.963,0.0788,1.056
III,170874,175900,-0.0514,0.965,-0.0634,0.957,-0.0539,0.963,-0.0029,0.998
III,175900,180925,0.0210,1.015,0.0745,1.053,-0.0651,0.956,-0.0055,0.996
III,180925,185951,0.0609,1.043,0.0315,1.022,0.1190,1.086,0.0753,1.054
III,185951,190977,-0.1989,0.871,-0.1923,0.875,-0.2270,0.854,-0.0594,0.960
III,190977,196002,0.0955,1.068,0.1085,1.078,0.0475,1.033,0.1129,1.081
III,196002,201028,0.1597,1.117,-0.0382,0.974,-0.0289,0.980,-0.1081,0.928
III,201028,206054,0.2167,1.162,0.1536,1.112,0.1535,1.112,0.0357,1.025
III,206054,211079,-0.0416,0.972,0.0345,1.024,-0.0110,0.992,0.0339,1.024
III,211079,216105,-0.2325,0.851,-0.1410,0.907,-0.0051,0.996,-0.0940,0.937
III,216105,221131,0.1004,1.072,0.0313,1.022,0.0637,1.045,0.0629,1.045
III,221131,226157,0.1367,1.099,0.0415,1.029,0.0265,1.019,-0.0023,0.998
III,226157,231182,-0.0810,0.945,-0.1146,0.924,-0.1514,0.900,-0.0809,0.945
III,231182,236208,0.1269,1.092,-0.0579,0.961,0.0415,1.029,0.0414,1.029
III,236208,241234,0.2753,1.210,0.1664,1.122,0.1011,1.073,-0.0010,0.999
III,241234,246259,0.3709,1.293,0.1904,1.141,0.2143,1.160,-0.0614,0.958
III,246259,251285,0.1237,1.090,0.0192,1.013,-0.0387,0.974,-0.0627,0.957
III,251285,256311,-0.0278,0.981,-0.1241,0.918,-0.1603,0.895,-0.0583,0.960
III,256311,261337,0.1242,1.090,-0.0299,0.979,0.0193,1.013,-0.0117,0.992
III,261337,266362,-0.0774,0.948,-0.1865,0.879,-0.2448,0.844,0.0133,1.009
III,266362,271388,0.4300,1.347,0.2487,1.188,0.2896,1.222,0.1031,1.074
III,271388,276414,0.4929,1.407,0.0800,1.057,0.2302,1.173,0.0608,1.043
III,276414,281440,0.2594,1.197,0.0359,1.025,0.1446,1.105,0.0272,1.019
III,281440,286465,0.1563,1.114,-0.0192,0.987,0.0047,1.003,0.0155,1.011
III,286465,291491,0.4440,1.360,0.1079,1.078,0.1694,1.125,0.0091,1.006
III,291491,296517,0.0015,1.001,-0.0286,0.980,-0.4690,0.722,0.2796,1.214
III,296517,301542,0.3760,1.298,0.1109,1.080,0.0144,1.010,0.0117,1.008
III,301542,306568,0.1099,1.079,-0.0487,0.967,-0.2525,0.839,0.0054,1.004
III,306568,311594,0.3417,1.267,0.1807,1.133,-1.6346,0.322,0.0308,1.022
III,311594,316620,0.6263,1.544,0.3938,1.314,-5.3843,0.024,0.0220,1.015
IV,0,5006,0.6773,1.599,0.4659,1.381,0.0056,1.004,0.0938,1.067
IV,5006,10012,0.3786,1.300,0.1976,1.147,-0.0373,0.974,0.0595,1.042
IV,10012,15018,0.5801,1.495,0.2904,1.223,0.1953,1.145,0.2487,1.188
IV,15018,20025,0.1183,1.085,-0.0233,0.984,-0.0971,0.935,-0.0583,0.960
IV,20025,25031,0.2285,1.172,0.0356,1.025,-0.0255,0.982,0.0000,1.000
IV,25031,30037,0.0106,1.007,-0.1626,0.893,-0.0790,0.947,0.0580,1.041
IV,30037,35044,0.1650,1.121,-0.0740,0.950,0.0226,1.016,0.0090,1.006
IV,35044,40050,0.1941,1.144,-0.0168,0.988,0.0242,1.017,0.0561,1.040
IV,40050,45056,0.1271,1.092,-0.0627,0.957,0.0667,1.047,0.0694,1.049
IV,45056,50063,0.1099,1.079,-0.0606,0.959,0.0443,1.031,-0.0159,0.989
IV,50063,55069,-0.0121,0.992,-0.1220,0.919,-0.0655,0.956,0.0200,1.014
IV,55069,60075,0.1055,1.076,-0.0523,0.964,0.0050,1.003,-0.0200,0.986
IV,60075,65082,-0.1731,0.887,-0.2422,0.845,-0.1984,0.872,0.0250,1.017
IV,65082,70088,0.3163,1.245,0.1944,1.144,0.1146,1.083,-0.0460,0.969
IV,70088,75094,-0.0790,0.947,-0.1114,0.926,-0.1438,0.905,0.0011,1.001
IV,75094,80101,-0.2025,0.869,-0.1695,0.889,-0.2953,0.815,-0.0079,0.995
IV,80101,85107,0.0403,1.028,0.0378,1.027,-0.0702,0.953,-0.1001,0.933
IV,85107,90113,-0.0552,0.962,-0.1617,0.894,-0.2613,0.834,-0.0004,1.000
IV,90113,95120,0.1254,1.091,0.0168,1.012,-0.0097,0.993,-0.0417,0.971
IV,95120,100126,0.0092,1.006,0.0470,1.033,0.0684,1.049,0.0054,1.004
IV,100126,105132,-0.0418,0.971,-0.0035,0.998,-0.0987,0.934,-0.0353,0.976
IV,105132,110138,-0.1283,0.915,-0.0736,0.950,-0.1141,0.924,0.1034,1.074
IV,110138,115145,0.0884,1.063,0.0574,1.041,-0.0391,0.973,-0.0026,0.998
IV,115145,120151,-0.1383,0.909,-0.0683,0.954,-0.1555,0.898,-0.0257,0.982
IV,120151,125157,0.0968,1.069,-0.0369,0.975,0.0201,1.014,-0.0233,0.984
IV,125157,130164,-0.0586,0.960,-0.0906,0.939,0.0259,1.018,-0.0167,0.989
IV,130164,135170,-0.0431,0.971,0.0149,1.010,-0.0597,0.959,0.0423,1.030
IV,135170,140176,0.0461,1.032,0.0407,1.029,0.0234,1.016,-0.0049,0.997
IV,140176,145183,0.2916,1.224,0.1688,1.124,0.1524,1.111,0.0110,1.008
IV,145183,150189,0.0456,1.032,0.1032,1.074,0.1570,1.115,-0.0241,0.983
IV,150189,155195,0.1619,1.119,0.1592,1.117,0.2535,1.192,0.0269,1.019
IV,155195,160202,-0.0937,0.937,0.0573,1.041,-0.0393,0.973,-0.0561,0.962
IV,160202,165208,-0.1633,0.893,-0.0035,0.998,-0.1375,0.909,-0.1626,0.893
IV,165208,170214,-0.1174,0.922,-0.0905,0.939,-0.0711,0.952,-0.0493,0.966
IV,170214,175221,-0.1693,0.889,-0.1429,0.906,-0.0436,0.970,-0.0011,0.999
IV,175221,180227,-0.0263,0.982,0.0550,1.039,0.0693,1.049,0.0315,1.022
IV,180227,185233,-0.2767,0.825,-0.1604,0.895,-0.2580,0.836,0.0826,1.059
IV,185233,190240,0.0113,1.008,0.0291,1.020,0.0570,1.040,0.0521,1.037
IV,190240,195246,-0.0394,0.973,-0.0720,0.951,-0.0222,0.985,-0.0546,0.963
IV,195246,200252,-0.0962,0.935,-0.0484,0.967,-0.0209,0.986,0.0127,1.009
IV,200252,205258,-0.0060,0.996,0.0623,1.044,0.0153,1.011,-0.0263,0.982
IV,205258,210265,0.2374,1.179,0.1502,1.110,0.2498,1.189,0.0057,1.004
IV,210265,215271,-0.1251,0.917,-0.1047,0.930,-0.0978,0.934,-0.0451,0.969
IV,215271,220277,0.1203,1.087,0.0469,1.033,-0.0007,1.000,0.0466,1.033
IV,220277,225284,-0.1835,0.881,-0.1445,0.905,-0.1019,0.932,-0.0378,0.974
IV,225284,230290,0.0772,1.055,0.1067,1.077,0.0797,1.057,-0.0826,0.944
IV,230290,235296,-0.2304,0.852,-0.1861,0.879,-0.1781,0.884,0.0520,1.037
IV,235296,240303,0.0749,1.053,0.0427,1.030,0.1807,1.133,-0.0632,0.957
IV,240303,245309,-0.1031,0.931,-0.1017,0.932,-0.0312,0.979,-0.0331,0.977
IV,245309,250315,0.0138,1.010,0.1440,1.105,0.0459,1.032,-0.0639,0.957
IV,250315,255322,0.0790,1.056,0.0850,1.061,0.2041,1.152,-0.0207,0.986
IV,255322,260328,0.0715,1.051,0.0176,1.012,0.0794,1.057,-0.0410,0.972
IV,260328,265334,-0.0711,0.952,0.0039,1.003,-0.0180,0.988,-0.1050,0.930
IV,265334,270341,0.0437,1.031,0.0462,1.033,0.0248,1.017,0.0255,1.018
IV,270341,275347,-0.0377,0.974,0.0142,1.010,0.0298,1.021,-0.0728,0.951
IV,275347,280353,0.1014,1.073,0.1213,1.088,0.2351,1.177,0.0124,1.009
IV,280353,285360,-0.3085,0.807,-0.2036,0.868,-0.2803,0.823,0.0762,1.054
IV,285360,290366,0.1212,1.088,0.0395,1.028,0.1214,1.088,0.0240,1.017
IV,290366,295372,0.0029,1.002,-0.0139,0.990,-0.0084,0.994,0.0042,1.003
IV,295372,300379,0.0394,1.028,-0.0098,0.993,-0.0718,0.951,-0.0387,0.974
IV,300379,305385,0.0411,1.029,0.0293,1.020,0.1120,1.081,-0.0550,0.963
IV,305385,310391,-0.3060,0.809,-0.1937,0.874,-0.2416,0.846,0.0629,1.045
IV,310391,315397,0.0606,1.043,0.0291,1.020,0.0591,1.042,0.0473,1.033
